ID,Answer,Generated
2024-II-4,33,33
2024-II-12,23,5
2024-I-4,116,116
2024-I-3,809,404
2024-I-8,197,2027
2024-I-12,385,16
2024-I-11,371,17
2024-II-11,601,303
2024-I-2,25,25
2024-II-6,55,77
2024-I-7,540,540
